algorithm,antecedents,consequents,support,confidence,lift,leverage,conviction
Apriori,heat=Heat_Warning,hum=Low,0.059555,0.577363,1.686864,0.02425,1.556253
Apriori,heat=Heat_Warning,pres=Low,0.054505,0.528405,1.46053,0.017186,1.353302
Apriori,heat=Heat_Watch,hum=Low,0.07589,0.368425,1.076416,0.005388,1.041412
Apriori,heat=Heat_Watch,pres=Low,0.08534,0.414302,1.145145,0.010817,1.089657
Apriori,heat=Heat_Watch,pres=Medium,0.075345,0.365779,1.153077,0.010002,1.076565
Apriori,heat=Heat_Watch,wind=Low,0.11143,0.540962,1.009295,0.001026,1.010853
Apriori,heat=Normal,hum=High,0.24045,0.360519,1.155862,0.032423,1.076021
Apriori,hum=High,heat=Normal,0.24045,0.770908,1.155862,0.032423,1.45376
Apriori,hum=Medium,heat=Normal,0.242385,0.700889,1.050879,0.011735,1.11345
Apriori,heat=Normal,hum=Medium,0.242385,0.36342,1.050879,0.011735,1.02764
Apriori,pres=High,heat=Normal,0.260325,0.811007,1.215984,0.046239,1.762204
Apriori,heat=Normal,pres=High,0.260325,0.390319,1.215984,0.046239,1.113713
Apriori,heat=Normal,wind=Low,0.36979,0.554445,1.034451,0.012315,1.041443
Apriori,wind=Low,heat=Normal,0.36979,0.689932,1.034451,0.012315,1.074105
Apriori,pres=High,hum=High,0.11135,0.346896,1.112183,0.011232,1.053576
Apriori,hum=High,pres=High,0.11135,0.357,1.112183,0.011232,1.056003
Apriori,wind=Low,hum=High,0.187735,0.350265,1.122986,0.02056,1.059039
Apriori,hum=High,wind=Low,0.187735,0.601898,1.122986,0.02056,1.165581
Apriori,hum=Low,pres=Low,0.133425,0.389824,1.077486,0.009595,1.045944
Apriori,pres=Low,hum=Low,0.133425,0.368791,1.077486,0.009595,1.042017
Apriori,hum=Low,pres=Medium,0.11261,0.329009,1.037164,0.004035,1.01757
Apriori,pres=Medium,hum=Low,0.11261,0.35499,1.037164,0.004035,1.019721
Apriori,hum=Low,wind=High,0.12342,0.360593,1.201354,0.020686,1.094521
Apriori,wind=High,hum=Low,0.12342,0.411188,1.201354,0.020686,1.117045
Apriori,hum=Medium,pres=High,0.113405,0.327926,1.021608,0.002399,1.01032
